Año,mes,Toneladas,precio_promedio,precio_lag1,fecha,fecha_merge,ipc_alimentos,indice,precio_real,mes_num,precio_lag2,precio_ma3,ma3,ma6,ma12,arriendo,costos_indirectos,empaques,enmiendas,fertilizantes,mano_obra,mipe,semilla,maquinaria,transporte,costo_total
2019,Enero,21718.8500153,772.6802062988281,,2019-01-01,2019-01-01,2.07,100.0,772.6802062988281,1,,,,,,13.321444125,1656232.0,5.627641375,0.06313803333333334,4.05752296103304,10.358447863247864,0.0,3.236077079772949,2.0182174353886855,4.7,45.03872087277587
2019,Febrero,17933.9000058,798.4447784423828,772.6802062988281,2019-02-01,2019-02-01,2.29,100.18885920210916,796.9396845129205,2,,,,,,13.321444125,1656232.0,5.627641375,0.06325728125,4.114756325471495,10.358447863247864,0.0,3.2703055229187012,2.0182174353886855,4.7,45.13030192827675
2019,Marzo,20840.3999991,871.4064737955729,798.4447784423828,2019-03-01,2019-03-01,3.24,100.45543328711344,867.4557913706776,3,772.6802062988281,814.1771528455946,814.1771528455946,,,13.321444125,1656232.0,5.662534625,0.0631775,4.223352317616924,10.358447863247864,0.0,3.911126449584961,2.0182174353886855,4.7,45.914532315838436
2019,Abril,17516.3000004,1136.4999389648438,871.4064737955729,2019-04-01,2019-04-01,3.45,100.73977405381207,1128.154147296142,4,798.4447784423828,935.4503970675997,935.4503970675997,,,17.68188875,1656232.0,5.662534625,0.063801875,4.286586391919744,10.358447863247864,0.0,4.944205563354492,2.005926523498288,4.7,51.359623592020384
2019,Mayo,23682.0499766,1056.201806640625,1136.4999389648438,2019-05-01,2019-05-01,4.03,101.07199909559327,1044.9994222847772,5,871.4064737955729,1021.3694064670138,1021.3694064670138,,,17.68188875,1656232.0,5.8581365,0.06464592397660819,5.6701356955202815,10.358447863247864,0.0,4.542322636172645,2.005926523498288,4.7,52.53773589241569
2019,Junio,21918.9000081,1109.6309051513672,1056.201806640625,2019-06-01,2019-06-01,4.96,101.4805566610446,1093.4418785833502,6,1136.4999389648438,1100.7775502522786,1100.7775502522786,957.4773515489366,,17.68188875,1656232.0,5.8581365,0.06503723684210527,5.688618709043962,10.610432539682542,0.0,4.668108999252319,2.005926523498288,4.7,52.93438125831921
2019,Julio,25005.6999377,995.9086303710938,1109.6309051513672,2019-07-01,2019-07-01,6.57,102.02010229221949,976.188621648781,7,1056.201806640625,1053.9137807210286,1053.9137807210286,994.6820888943142,,17.53922225,1656232.0,10.3263305,0.06703495555555555,5.802209325855699,10.610432539682542,0.0,4.246284304618835,2.032588962148962,4.7,56.9803348378616
2019,Agosto,28274.5999626,843.3704962226562,995.9086303710938,2019-08-01,2019-08-01,6.42,102.55047883193912,822.3954737498411,8,1109.6309051513672,982.9700105817057,982.9700105817057,1002.1697085243599,,17.53922225,1656232.0,10.3263305,0.06703495555555555,5.802209325855699,10.610432539682542,0.0,3.6385593494889705,2.032588962148962,4.7,56.37260988273174
2019,Septiembre,24041.69997418,809.0946502685547,843.3704962226562,2019-09-01,2019-09-01,6.49,103.08926141322993,784.848624557824,9,995.9086303710938,882.7912589541015,882.7912589541015,991.7844046031901,,17.53922225,1656232.0,5.8062738125,0.06607550877192982,5.876263291097445,10.540051037851036,0.0,3.3318406677246095,2.032588962148962,4.7,51.548547530093984
2019,Octubre,25030.5000067,855.9904632568359,809.0946502685547,2019-10-01,2019-10-01,6.87,103.66164083486154,825.7543063788406,10,843.3704962226562,836.1518699160156,836.1518699160156,945.0328253185222,,18.072222375,1656232.0,5.8062738125,0.066502875,5.846825258280531,10.540051037851036,0.0,3.4552158481891335,2.079487612822907,4.7,52.2228108196436
2019,Noviembre,25732.0499813,813.222216796875,855.9904632568359,2019-11-01,2019-11-01,6.42,104.20055131556438,780.4394569219563,11,809.0946502685547,826.1024434407553,826.1024434407553,904.5362270112305,,18.072222375,1656232.0,6.67864909375,0.0664054696969697,5.8438710002927685,10.540051037851036,0.0,3.1851160400390626,2.079487612822907,4.7,52.822034629452745
2019,Diciembre,21755.9499792,619.2781219482422,813.222216796875,2019-12-01,2019-12-01,5.8,104.69127503041503,591.5279203241423,12,855.9904632568359,762.8302673339845,762.8302673339845,822.810763144043,890.1440573464897,18.072222375,1656232.0,6.67864909375,0.06605200757575758,5.869633859944256,10.580973382173383,0.0,2.459945086956024,2.079487612822907,4.7,52.16319541822232
2020,Enero,22191.9500039,630.8554840087891,619.2781219482422,2020-01-01,2020-01-01,5.13,105.12863958176375,600.0795658714308,1,813.222216796875,687.7852742513022,687.7852742513022,761.9685720836588,878.3253304889864,18.273611,1755606.0,6.67557590625,0.06658103750000001,5.864291596052096,10.580973382173383,0.0,2.422398644256592,2.102021831501831,4.8,52.5410593977339
2020,Febrero,20583.2000127,604.4753295898438,630.8554840087891,2020-02-01,2020-02-01,5.87,105.62955589967851,572.2596525577966,2,619.2781219482422,618.202978515625,618.202978515625,722.1527109781902,862.1612097512749,18.273611,1755606.0,6.67557590625,0.06578732142857144,5.877546623870137,10.580973382173383,0.0,2.4350337810516356,2.102021831501831,4.8,52.566155846275564
2020,Marzo,21349.44998442,787.8590698242188,604.4753295898438,2020-03-01,2020-03-01,7.19,106.2425069065079,741.566716340311,3,630.8554840087891,674.3966278076172,674.3966278076172,718.6134475708009,855.1989260869955,18.273611,1755606.0,5.448493625,0.06608719298245615,5.931749090748892,10.684296259426848,0.0,3.27232469329834,2.102021831501831,4.8,52.33418969295837
2020,Abril,18575.600002,758.4833679199219,787.8590698242188,2020-04-01,2020-04-01,8.23,106.94503197591146,709.2273048183896,4,604.4753295898438,716.9392557779947,716.9392557779947,702.3622650146485,823.6975451665853,16.382778,1755606.0,5.448493625,0.06689535087719298,6.338927984013135,10.684296259426848,0.0,3.3793933124542237,2.0385588677248676,4.8,50.894949399496255
2020,Mayo,16394.6999965,989.17255859375,758.4833679199219,2020-05-01,2020-05-01,7.57,107.59734259131973,919.3280565960279,5,787.8590698242188,845.1716654459636,845.1716654459636,731.6873219807943,818.1117744960123,16.382778,1755606.0,5.714379,0.08001810606060607,6.388623375891667,10.684296259426848,0.0,4.090368840026856,2.0385588677248676,4.8,51.93462844913084
2020,Junio,18366.1499875,1081.9687957763672,989.17255859375,2020-06-01,2020-06-01,6.55,108.16771775103636,1000.2695982424948,6,758.4833679199219,943.2082407633465,943.2082407633465,808.8024342854818,815.8065987147623,16.382778,1755606.0,5.714379,0.0682214705882353,6.343587081439976,10.829260256410256,0.0,4.6257500610351565,2.0385588677248676,4.8,52.558140737198485
2020,Julio,21811.5499938,896.6017150878906,1081.9687957763672,2020-07-01,2020-07-01,5.0,108.60840642254882,825.5362035233231,7,989.17255859375,989.247689819336,989.247689819336,853.0934727986654,807.531022441162,16.385000125,1755606.0,5.85481884375,0.06876775462962964,6.228032906977012,10.829260256410256,0.0,3.7859519805908204,2.0631742222222225,4.8,51.77061208957994
2020,Agosto,18928.7999778,725.537939453125,896.6017150878906,2020-08-01,2020-08-01,4.66,109.0214203203625,665.5003551789285,8,1081.9687957763672,901.3694834391276,901.3694834391276,873.2705744425456,797.7116427103679,16.385000125,1755606.0,5.85481884375,0.07781254166666668,6.12963420462963,10.829260256410256,0.0,2.9961876470465407,2.0631742222222225,4.8,50.89149384072532
2020,Septiembre,21434.0499693,646.5885467529297,725.537939453125,2020-09-01,2020-09-01,4.13,109.38971513465764,591.0871474132515,9,896.6017150878906,756.2427337646485,756.2427337646485,849.7254872639974,784.1694674173991,16.385000125,1755606.0,7.86708934375,0.06972547222222222,6.026329968850596,11.193370512820511,0.0,2.518828848838806,2.0631742222222225,4.8,52.679124493704364
2020,Octubre,20547.6499954,534.29990234375,646.5885467529297,2020-10-01,2020-10-01,3.54,109.70729443446494,487.0231328719175,10,725.537939453125,635.4754628499348,635.4754628499348,812.3615763346355,757.361920674642,16.286111,1755606.0,7.86708934375,0.06901395634920635,5.998344043235945,11.193370512820511,0.0,2.0674763957977293,1.9488301414141416,4.8,51.98584139336754
2020,Noviembre,20764.0500143,483.9154586791992,534.29990234375,2020-11-01,2020-11-01,4.09,110.07438190631066,439.6258696152223,11,646.5885467529297,554.934635925293,554.934635925293,728.1520596822103,729.9196908315024,16.286111,1755606.0,6.28642696875,0.06865713392857142,5.977593461039831,11.193370512820511,0.0,1.9532491986751557,1.9488301414141416,4.8,50.26984441662821
2020,Diciembre,19572.0500169,479.8976287841797,483.9154586791992,2020-12-01,2020-12-01,4.8,110.50527992164702,434.275746031726,12,534.29990234375,499.37099660237635,499.37099660237635,627.8068651835124,718.304649734497,16.286111,1755606.0,6.28642696875,0.06911056011904762,5.264060031008076,11.236119347319345,0.0,1.8871155223846436,1.9488301414141416,4.8,49.53337957099526
2021,Enero,15497.4499773,616.3035888671875,479.8976287841797,2021-01-01,2021-01-01,5.51,111.00030299683132,555.2269428352649,1,483.9154586791992,526.7055587768555,526.7055587768555,581.0905108133952,717.0919918060303,16.59416675,1817052.0,8.61111559375,0.06956737797619048,6.051199599249506,11.236119347319345,0.0,2.513156859970093,2.019862393162393,4.9,53.812239921427526
2021,Febrero,19432.5500142,814.5052032470703,616.3035888671875,2021-02-01,2021-02-01,5.02,111.45430090464656,730.7974628488414,2,479.8976287841797,636.9021402994791,636.9021402994791,595.918388112386,734.5944812774659,16.59416675,1817052.0,8.61111559375,0.07051825595238094,5.3735991492378545,11.236119347319345,0.0,3.372430480957031,2.019862393162393,4.9,53.994863970379
2021,Marzo,22557.7000204,1198.7131652832031,814.5052032470703,2021-03-01,2021-03-01,3.92,111.81200285930657,1072.0791459138318,3,616.3035888671875,876.5073191324869,876.5073191324869,687.9391578674316,768.8323225657145,16.59416675,1817052.0,9.46188553125,0.06984058333333334,5.664060765612859,11.240622624434389,0.0,5.248335433959961,2.019862393162393,4.9,57.015826081752934
2021,Abril,20298.599979,1197.8577270507812,1198.7131652832031,2021-04-01,2021-04-01,3.98,112.17624837762126,1067.835432522585,4,814.5052032470703,1070.3586985270183,1070.3586985270183,798.5321286519369,805.4468524932862,16.749222,1817052.0,9.46188553125,0.06689535087719298,6.338927984013135,11.240622624434389,0.0,5.507644718170166,2.2952543097643097,4.9,58.37750451850919
2021,Mayo,21566.5999493,1295.604024251302,1197.8577270507812,2021-05-01,2021-05-01,9.52,113.0295584326018,1146.2523982378073,5,1198.7131652832031,1230.7249721950955,1230.7249721950955,933.8135562472875,830.982807964749,16.749222,1817052.0,9.009460125,0.07615833333333334,6.066012960748791,11.240622624434389,0.0,5.534780499458313,2.2952543097643097,4.9,57.68856285273914
2021,Junio,24077.1000242,831.8810424804688,1295.604024251302,2021-06-01,2021-06-01,8.52,113.80233675685872,730.9876635115161,6,1197.8577270507812,1108.4475979275173,1108.4475979275173,992.4774585300023,810.1421618567574,16.749222,1817052.0,9.009460125,0.08072166666666666,7.231274246984127,11.490698461538463,0.0,3.338761227607727,2.2952543097643097,4.9,56.91244403756129
2021,Julio,24269.149964,842.6524780273437,831.8810424804688,2021-07-01,2021-07-01,9.81,114.69328822453704,734.7007754958322,7,1295.604024251302,990.0458482530381,990.0458482530381,1030.2022733900283,805.6463921017117,25.260222375,1817052.0,10.3263305,0.07316185639880952,7.617548451388888,11.490698461538463,0.0,3.4074545265197753,2.2691418803418806,4.9,67.16161005118781
2021,Agosto,22765.3499796,679.4407653808594,842.6524780273437,2021-08-01,2021-08-01,11.5,115.73842719340794,587.0485558313842,8,831.8810424804688,784.658095296224,784.658095296224,1007.6915337456597,801.8049609290229,25.260222375,1817052.0,10.3263305,0.07294138888888889,7.160539149159569,11.490698461538463,0.0,2.748504475593567,2.26914188034188,4.9,66.04543023052237
2021,Septiembre,24679.399983,772.7275085449219,679.4407653808594,2021-09-01,2021-09-01,12.4,116.87136118444029,661.1778118383028,9,842.6524780273437,764.9402506510418,764.9402506510418,936.6939242892795,812.3165410783555,25.260222375,1817052.0,10.807404375,0.07319324032738095,7.875076054668422,11.652514285714286,0.0,3.2752385101318358,2.2691418803418806,4.9,67.9298427211838
2021,Octubre,26982.3999909,899.1229248046875,772.7275085449219,2021-10-01,2021-10-01,13.76,118.13372567244329,761.1060429074602,10,679.4407653808594,783.7637329101562,783.7637329101562,886.9047905815972,842.7184596167671,24.768333125,1817052.0,10.807404375,0.07495032738095239,9.351717866721401,11.652514285714286,0.0,3.876192321777344,2.2548369985569985,4.9,69.50300130015098
2021,Noviembre,26874.5000169,1070.8812408447266,899.1229248046875,2021-11-01,2021-11-01,15.34,119.54705900550168,895.7821712664999,11,772.7275085449219,914.2438913981119,914.2438913981119,849.450993347168,891.6322747972276,24.768333125,1817052.0,11.14035140625,0.07569210622710625,9.928074738580936,11.652514285714286,0.0,4.718674424171447,2.2548369985569985,4.9,71.25552908450078
2021,Diciembre,27383.0499934,1491.8671875,1070.8812408447266,2021-12-01,2021-12-01,17.23,121.14127126203269,1231.5102623226073,12,899.1229248046875,1153.9571177164714,1153.9571177164714,959.4486841837565,975.9630713568794,24.768333125,1817052.0,11.14035140625,0.07624846153846142,11.08654752314815,12.050225238095239,0.0,6.660185256958008,2.2548369985569985,4.9,74.75378000954686
2022,Enero,22208.650012,2084.7070068359376,1491.8671875,2022-01-01,2022-01-01,19.94,122.99075397757106,1695.0111609333746,1,1070.8812408447266,1549.151811726888,1549.151811726888,1166.457772318522,1098.330022854275,26.107667,2000000.0,11.25701840625,0.07313982905980691,9.758778806332582,12.050225238095239,0.0,9.291861405944823,2.407045714273905,4.95,77.89573639995635
2022,Febrero,21877.0500149,2577.6156005859375,2084.7070068359376,2022-02-01,2022-02-01,23.3,125.15630134895038,2059.517237889001,2,1491.8671875,2051.3965983072917,2051.3965983072917,1482.8202448527018,1245.2558892991808,26.107667,2000000.0,11.25701840625,0.0873523750000925,11.739452027960718,12.050225238095239,0.0,10.929620166778564,2.407045714273905,4.95,81.52838092835852
2022,Marzo,22855.450008,2431.2433471679688,2577.6156005859375,2022-03-01,2022-03-01,25.37,127.53680189245298,1906.3072862828608,3,2084.7070068359376,2364.521984863281,2364.521984863281,1759.2395512898763,1347.9667377895778,26.107667,2000000.0,11.2025781875,0.08653534876543666,12.02184149786594,12.534892063491315,0.0,11.020405054092407,2.407045714273905,4.95,82.330964865989
2022,Abril,22601.099988,2104.3329833984376,2431.2433471679688,2022-04-01,2022-04-01,26.17,130.03148759623917,1618.325701181396,4,2577.6156005859375,2371.0639770507814,2371.0639770507814,1960.1078943888344,1423.506342485216,26.30183325,2000000.0,11.2025781875,0.08485664506176378,14.4644138042809,12.534892063491315,0.0,9.46862223815918,2.412956447125877,4.95,83.42015263561905
2022,Mayo,27605.4000334,1078.2254486083984,2104.3329833984376,2022-05-01,2022-05-01,21.6,132.16800326975638,815.7991510303201,5,2431.2433471679688,1871.2672597249348,1871.2672597249348,1961.3319290161132,1405.3914611816408,26.30183325,2000000.0,11.4616236875,0.09183091666669134,15.192544082169782,12.534892063491315,0.0,4.762769734382629,2.412956447125877,4.95,79.7084501813363
2022,Junio,29389.5500021,927.2468872070312,1078.2254486083984,2022-06-01,2022-06-01,23.65,134.52691170223582,689.2649771514976,6,2104.3329833984376,1369.9351064046223,1369.9351064046223,1867.2285456339516,1413.3386149088544,26.30183325,2000000.0,11.4616236875,0.09332059195400684,15.052138597874416,12.660833583959816,0.0,4.114250020980835,2.412956447125877,4.95,79.04695617939495
2022,Julio,29689.9000239,852.892822265625,927.2468872070312,2022-07-01,2022-07-01,24.61,137.0161984266855,622.4759058119614,7,1078.2254486083984,952.7883860270182,952.7883860270182,1661.9261815388998,1414.1919769287108,27.29000025,2000000.0,11.436310875,0.09330145402301318,14.609826450886816,12.660833583959816,0.0,3.6570655632019045,2.4222031350427278,4.95,79.11954131211426
2022,Agosto,28434.0000079,785.1242065429688,852.892822265625,2022-08-01,2022-08-01,25.57,139.64082464097402,562.2454669410439,8,927.2468872070312,855.0879720052084,855.0879720052084,1363.1776158650716,1422.9989303588866,27.29000025,2000000.0,11.436310875,0.0928041867816007,14.552172008684465,12.660833583959816,0.0,3.2883018465042113,2.4222031350427278,4.95,78.69262588597283
2022,Septiembre,28845.9500242,938.0168151855469,785.1242065429688,2022-09-01,2022-09-01,26.62,142.41451787134554,658.6525230755848,9,852.892822265625,858.6779479980469,858.6779479980469,1114.3065272013346,1436.7730392456053,27.29000025,2000000.0,11.4151224375,0.09478177678575658,14.53545912398393,13.113351587299556,0.0,4.113721687316895,2.4222031350427278,4.95,79.93463999792887
2022,Octubre,28159.2500154,1282.64501953125,938.0168151855469,2022-10-01,2022-10-01,27.02,145.28148587877266,882.8688747040544,10,785.1242065429688,1001.9286804199219,1001.9286804199219,977.3585332234701,1468.7332138061522,27.163389,2000000.0,11.4151224375,0.09476837643678587,14.588146833853814,13.113351587299556,0.0,5.914371244812012,2.4351437606835304,4.95,81.6742932405857
2022,Noviembre,29102.249982,1632.2319030761719,1282.64501953125,2022-11-01,2022-11-01,27.08,148.21200195605675,1101.2818675508552,11,938.0168151855469,1284.2979125976562,1284.2979125976562,1069.6929423014324,1515.5124356587728,27.163389,2000000.0,11.5549011875,0.09548411607144179,14.543189495241036,13.113351587299556,0.0,7.670339916229248,2.4351437606835304,4.95,83.52579906302482
2022,Diciembre,31985.79999602,1776.8600463867188,1632.2319030761719,2022-12-01,2022-12-01,27.81,151.2738208582491,1174.598510373928,12,1282.64501953125,1563.9123229980469,1563.9123229980469,1211.2951354980469,1539.2618405659994,27.163389,2000000.0,11.5549011875,0.0938410738095573,14.577936328116285,14.165047619047298,0.0,8.014610137939453,2.4351437606835304,4.95,84.95486910709613
