Año,mes,Toneladas,precio_promedio,precio_lag1,fecha,fecha_merge,ipc_alimentos,indice,precio_real
2023,Septiembre,24224.5999972,1230.1700744628906,1095.0416564941406,2023-09-01,2023-09-01,11.47,170.63132059812142,720.9520914159966
2023,Octubre,26786.24995938,1636.3641357421875,1230.1700744628906,2023-10-01,2023-10-01,10.36,172.03879539439032,951.1599590027963
2023,Noviembre,28101.0000009,1631.4696044921875,1636.3641357421875,2023-11-01,2023-11-01,8.25,173.1790628193278,942.0709281665577
2023,Diciembre,28983.3500133,1495.5137939453125,1631.4696044921875,2023-12-01,2023-12-01,5.0,173.88461575798996,860.0610165690256
2024,Enero,27643.20000332,1479.1990966796875,1495.5137939453125,2024-01-01,2024-01-01,2.96,174.30781991298738,848.61315884628
2024,Febrero,25885.4500153,1336.898681640625,1479.1990966796875,2024-02-01,2024-02-01,1.89,174.58000489778337,765.7799542527104
2024,Marzo,23173.55000461,1480.2642822265625,1336.898681640625,2024-03-01,2024-03-01,1.73,174.82971719296677,846.6891704645004
2024,Abril,24696.4000214,1771.5041809082031,1480.2642822265625,2024-04-01,2024-04-01,2.98,175.25805825055642,1010.7975625152625
2024,Mayo,21905.750005,2360.2430419921875,1771.5041809082031,2024-05-01,2024-05-01,4.4,175.88806477387877,1341.900625847757
2024,Junio,18817.24998801,2380.166015625,2360.2430419921875,2024-06-01,2024-06-01,5.27,176.64245384782566,1347.4484552142096
2024,Julio,24064.19997799,2650.7274780273438,2380.166015625,2024-07-01,2024-07-01,5.26,177.3986741315063,1494.2205690118908
2024,Agosto,22920.12999102,1942.1493530273438,2650.7274780273438,2024-08-01,2024-08-01,3.38,177.89076944109115,1091.7651090775062
2024,Septiembre,23359.6999866,1520.66162109375,1942.1493530273438,2024-09-01,2024-09-01,2.73,178.2904937142609,852.9123395276779
2024,Octubre,26605.250041,1239.6697998046875,1520.66162109375,2024-10-01,2024-10-01,1.75,178.5484382349206,694.304476734556
2024,Noviembre,26773.95001272,1221.1394348144531,1239.6697998046875,2024-11-01,2024-11-01,2.34,178.89292846175,682.6091144656683
2024,Diciembre,25652.64999411,1195.6503601074219,1221.1394348144531,2024-12-01,2024-12-01,3.31,179.37904338098954,666.5496356605813
2025,Enero,24008.7999942,1316.339697265625,1195.6503601074219,2025-01-01,2025-01-01,4.49,180.0367914013332,731.1503871068641
