Año,mes,fecha,precio_promedio,precio_predicho_m4,precio_predicho_m5
2019,Diciembre,2019-12-01,619.2781219482422,623.0825464133732,740.1273548976333
2020,Enero,2020-01-01,630.8554840087891,711.9169669279954,635.1349499856542
2020,Febrero,2020-02-01,604.4753295898438,776.6344926857669,683.8850546681515
2020,Marzo,2020-03-01,787.8590698242188,699.1266777688497,660.0406089787107
2020,Abril,2020-04-01,758.4833679199219,618.5433904259594,710.6279883324696
2020,Mayo,2020-05-01,989.17255859375,778.3894375229493,749.9804716030112
2020,Junio,2020-06-01,1081.9687957763672,716.5784846000697,856.3117580137578
2020,Julio,2020-07-01,896.6017150878906,524.9245860042729,812.5603678317157
2020,Agosto,2020-08-01,725.537939453125,561.6153330694433,709.1534766887407
2020,Septiembre,2020-09-01,646.5885467529297,530.4130708474277,610.6029495358298
2020,Octubre,2020-10-01,534.29990234375,499.1667951646582,536.51344168777
2020,Noviembre,2020-11-01,483.9154586791992,344.2581431555418,407.04262698845014
2020,Diciembre,2020-12-01,479.8976287841797,418.66552855627333,477.55931764178604
2021,Enero,2021-01-01,616.3035888671875,917.4497932574473,643.3576443009051
2021,Febrero,2021-02-01,814.5052032470703,887.072930330593,770.8746152352824
2021,Marzo,2021-03-01,1198.7131652832031,993.0587633330333,919.8512688719625
2021,Abril,2021-04-01,1197.8577270507812,1098.8343151657446,1149.740978102628
2021,Mayo,2021-05-01,1295.604024251302,1077.2616506135769,1276.3353079934827
2021,Junio,2021-06-01,831.8810424804688,659.4256683927952,1041.4023933027593
2021,Julio,2021-07-01,842.6524780273437,1530.5720144331162,1206.2042039929365
2021,Agosto,2021-08-01,679.4407653808594,1565.6921406545234,1292.200005405201
2021,Septiembre,2021-09-01,772.7275085449219,1518.7690146252653,1153.1444779055555
2021,Octubre,2021-10-01,899.1229248046875,1371.4490485503457,1070.6256725201724
2021,Noviembre,2021-11-01,1070.8812408447266,1461.8052762786838,1185.177624741476
2021,Diciembre,2021-12-01,1491.8671875,1481.362862394184,1267.342183580562
2022,Enero,2022-01-01,2084.7070068359376,2207.5356019072815,1982.4906627777273
2022,Febrero,2022-02-01,2577.6156005859375,2283.837488850072,2304.3628375400394
2022,Marzo,2022-03-01,2431.2433471679688,2146.8280271705544,2570.3257732832453
2022,Abril,2022-04-01,2104.3329833984376,1901.6708999242355,2201.87118407252
2022,Mayo,2022-05-01,1078.2254486083984,1240.612150037678,1555.8431564097987
2022,Junio,2022-06-01,927.2468872070312,1115.2732947288132,940.4441151538194
2022,Julio,2022-07-01,852.892822265625,1184.0262269761674,939.5862228921242
2022,Agosto,2022-08-01,785.1242065429688,1207.4857292221423,926.8712642483792
2022,Septiembre,2022-09-01,938.0168151855469,1175.9983671532614,906.9824802725116
2022,Octubre,2022-10-01,1282.64501953125,1353.301430258046,1092.726273647344
2022,Noviembre,2022-11-01,1632.2319030761719,1493.231728255184,1382.975150834994
2022,Diciembre,2022-12-01,1776.8600463867188,1193.8129123633184,1493.1396680542425
2023,Enero,2023-01-01,1890.910791015625,1631.5629202595073,1865.1114070105086
2023,Febrero,2023-02-01,1606.603515625,1362.350203648095,1637.1896106831027
2023,Marzo,2023-03-01,1420.7467041015625,1130.5398952438964,1490.265820608402
2023,Abril,2023-04-01,1190.0830078125,1341.0765509765233,1408.8367372756015
2023,Mayo,2023-05-01,1399.0231323242188,1270.768690032251,1099.0300264068865
2023,Junio,2023-06-01,1107.4383544921875,1020.8930132637433,1242.9598497421166
2023,Julio,2023-07-01,925.6201171875,974.333603535616,961.1580451141476
2023,Agosto,2023-08-01,1095.0416564941406,1013.7804223218864,892.0018056454583
2023,Septiembre,2023-09-01,1230.1700744628906,1120.954031788648,1060.7519157516508
2023,Octubre,2023-10-01,1636.3641357421875,1306.408703496682,1338.4755892905291
2023,Noviembre,2023-11-01,1631.4696044921875,1138.313377292402,1414.3248387641484
2023,Diciembre,2023-12-01,1495.5137939453125,956.0640305419279,1263.7575032003192
2024,Enero,2024-01-01,1479.1990966796875,1329.778610464838,1386.586610424244
2024,Febrero,2024-02-01,1336.898681640625,1374.3222711349554,1396.7656267137195
2024,Marzo,2024-03-01,1480.2642822265625,1469.0616512040588,1372.6494920334844
2024,Abril,2024-04-01,1771.5041809082031,1586.404291546568,1485.2860441601251
2024,Mayo,2024-05-01,2360.2430419921875,1993.431972437781,1976.9676051706483
2024,Junio,2024-06-01,2380.166015625,2042.6747458851614,2301.483735000781
2024,Julio,2024-07-01,2650.7274780273438,2053.519614458066,2338.262157877025
2024,Agosto,2024-08-01,1942.1493530273438,1777.9716437554844,2312.1294873473034
2024,Septiembre,2024-09-01,1520.66162109375,1539.0184981389293,1751.553359146892
2024,Octubre,2024-10-01,1239.6697998046875,1311.7260712958214,1376.7118598298562
2024,Noviembre,2024-11-01,1221.1394348144531,1305.3611980928076,1216.8549022169036
2024,Diciembre,2024-12-01,1195.6503601074219,1289.4940625126824,1208.7539715539615
2025,Enero,2025-01-01,1316.339697265625,1513.780932805702,1349.1256206670241
2025,Febrero,2025-02-01,1174.059829711914,1634.0706604380239,1451.3690079776006
2025,Marzo,2025-03-01,1447.0641845703126,1507.0313152124536,1240.8918165221094
2025,Abril,2025-04-01,1735.5377197265625,1698.7274006034204,1582.6074067683526
2025,Mayo,2025-05-01,1260.3309631347656,1408.9617594562887,1624.7627897602088
2025,Junio,2025-06-01,842.9754638671875,1051.096814385267,1082.1346610865667
2025,Julio,2025-07-01,781.9131469726562,923.4390387925964,792.1781292741898
2025,Agosto,2025-08-01,623.0187744140625,934.0932449686079,786.2627201982295
2025,Septiembre,2025-09-01,578.5125732421875,986.4177949479263,724.7168388062732
2025,Octubre,2025-10-01,565.2350540161133,792.6732238352597,637.5464429988342
2025,Noviembre,2025-11-01,787.1421875,1052.7506106985993,811.2564929704272
2025,Diciembre,2025-12-01,893.2109985351562,921.6960309447977,890.0962284449165
